file_id,split,label,prev_text,curr_text,audio_path
8_1_6_30,train,Neutral,ڈیڈ میں زید کے ساتھ رہنا چاہتی ہوں,اس کے پاس جانا چاہتی ہوں میں معافی مانگنے کو بھی تیار ہوں اس سے,audio/8_1_6_30.wav
9_1_2_32,train,Fear,بہت طبیعت خراب ہے نبز بھی ٹوٹ رہی ہے,وہ بتا رہی تھی کہ رابیل کی حالت بہت خراب ہے,audio/9_1_2_32.wav
7_1_2_28,train,Fear,تو پھر گھروں میں تانک جھانک کرنے کی کیا ضرورت ہے,ہو نہ ہو مجھے وہ پسند ہی نہیں ہے,audio/7_1_2_28.wav
2_0_7_44,train,Sad,اس گھر میں بہت بے چینی ہے,شایان کے جانے کے بعد تو ایسا لگتا ہے جیسے میرا بازو کٹ گیا ہے,audio/2_0_7_44.wav
7_1_2_05,train,Fear,میں ابھی بھابھی کو یہی بتا رہی تھی کہ مجھے انے میں دیر کیوں ہو گئی,لیکن میں جھوٹ نہیں بول رہی,audio/7_1_2_05.wav
3_0_1_24,train,Angry,تمہاری ماں عارفہ کو بھی ساتھ لے کے ایا ہوں افضل,اس بدبخت کو گریبان سے پکڑ کر دروازے پر کھڑی رہو گی,audio/3_0_1_24.wav
7_1_2_07,train,Fear,بولے جا رہے ہو بولے جا رہے ہو مجھے کچھ کہنے کا موقع دو گے,نہیں ملاقات ہو سکی,audio/7_1_2_07.wav
3_0_3_07,train,Boredom,کون ائے گا لینے چلو جاؤں گا خود ہی,خیر وہ تو پتہ چل ہی گیا ہے,audio/3_0_3_07.wav
5_0_2_17,train,Fear,لیکن تمہاری عافیت کی ڈور میرے ہاتھ میں ہے,کوئی نیا تماشہ کرنے سے پہلے یہ یاد رکھنا,audio/5_0_2_17.wav
7_1_3_24,train,Boredom,اپ کو اماں جی نے نہیں بتایا میں کسی کا احسان بھی نہیں لیتی,احسان کبھی کسی کا لیا ہی نہیں اور,audio/7_1_3_24.wav
5_0_1_14,train,Angry,اخر میری زندگی میں زندہ لڑکی کب ائے گی,تو بڑی خود غرض ہے,audio/5_0_1_14.wav
1_0_1_22,train,Angry,چھوڑوں گا نہیں مرتسم خان کو,اس بار اسے جواب دینا پڑے گا,audio/1_0_1_22.wav
7_1_5_31,train,Happy,چھوڑیں مجھے اپ کو ایک گڈ نیوز دینی ہے,ہاشم اتنی اسانی سے ان کو مائنس کر سکتے ہو اظہار,audio/7_1_5_31.wav
10_1_7_46,train,Sad,امی مجھ سے تو پڑھا ہی نہیں جاتا,سنبھلنے کا کوئی فائدہ نہیں,audio/10_1_7_46.wav
7_1_2_09,train,Fear,اس وقت میرے بھیا کا مسئلہ نہیں ہے,لڑائی انہوں نے شروع کی تھی,audio/7_1_2_09.wav
3_0_3_45,train,Boredom,یہ پھر وہی بات کر رہا ہے مطلب جو شخص نوکری نہیں دے رہا وہ بیٹی دینے پر راضی ہو گیا ہے,لیکن اس سے کیا فرق پڑتا ہے,audio/3_0_3_45.wav
10_1_3_41,train,Boredom,لگا لیتے ہیں آپ کو کیا ہے,کوئی یاد آگیا,audio/10_1_3_41.wav
6_1_1_37,train,Angry,یہ جو چاہتا ہے نا میں نہیں ہونے دوں گی,کیوں جھوٹ بول رہا ہے سب سے تو,audio/6_1_1_37.wav
1_0_5_50,train,Happy,ایک بات ہے کہ ہم میں صبر ہے,شکر ہے اللہ کا میں کبھی پکڑا نہیں گیا,audio/1_0_5_50.wav
8_1_1_46,train,Angry,زیادہ معصوم بننے کی ضرورت نہیں ہے,اس کی ضرورت نہیں ہے باسم انکل کی وہ واپس نہیں ائے گا,audio/8_1_1_46.wav
4_0_5_39,train,Happy,کچھ نہیں ہوتا ایک دفعہ ایک سیکنڈ ماشاءاللہ,تشریف رکھیے,audio/4_0_5_39.wav
3_0_4_28,train,Disgust,مطلب تم اچھی طرح جانتی ہو,مجھے عورتوں کی جاب سے چڑ ہے,audio/3_0_4_28.wav
6_1_4_43,train,Disgust,اگر میری اس کے ساتھ بنتی تو میرا اس کے ساتھ چکر ہوتا یہی مطلب ہے تیرا,تو اپنے دکھڑے لے کر بیٹھ جاتی ہے یا میری دکھتی رگ پر ہاتھ رکھ دیتی ہیں,audio/6_1_4_43.wav
4_0_5_02,train,Happy,ایسی ہو کہ ائینہ بھی واقف نہ ہو اس سے,جب ایسی لڑکی مل جائے گی تو بتا دیجیے گا میں کر لوں گا شادی,audio/4_0_5_02.wav
7_1_1_10,train,Angry,زیادہ ہیرو بننے کی کوشش نہ کرو,ایسے بڑوں سے ایسے ہی بات کی جاتی ہے بھابھی,audio/7_1_1_10.wav
9_1_5_28,train,Happy,کتنا ہی شکر ہے کہ تو نے مجھے یہ دن دکھایا,بہت پیاری بہت اچھی,audio/9_1_5_28.wav
10_1_6_35,train,Neutral,ہاں بس اُسی کا کام ختم کرواؤں گی پہلے,تم تو مجھے جانتے ہو تمہی یہ بات کر رہے ہو,audio/10_1_6_35.wav
10_1_6_12,train,Neutral,مجھ سے بد تمیزی کرنے کی ضرورت نہیں ہے فائل لینے آئی ہوں لے کے جارہی ہوں,آپ کا زمانہ اور تھا,audio/10_1_6_12.wav
9_1_4_45,train,Disgust,مرے ہوئے باپ سے وعدہ یاد ہے,چہیتی محبوبہ کی وجہ سے چھوڑ رہے ہو,audio/9_1_4_45.wav
10_1_2_19,train,Fear,مجھے یقین نہیں ا رہا,تم نے مجھے بتایا کیوں نہیں,audio/10_1_2_19.wav
9_1_6_09,train,Neutral,میرا بیٹا پاگل نہیں ہے,ہاں بس ذرا سی ہوش نہیں ہے اُسے,audio/9_1_6_09.wav
5_0_1_41,train,Angry,بس چل جا,خاموش,audio/5_0_1_41.wav
5_0_4_06,train,Disgust,وال چٹے ہو جائیں تو دماغ میں کوئی رنگ ونگ نہیں رہتا,ائے کیا مصیبت ہے,audio/5_0_4_06.wav
4_0_7_26,train,Sad,یہی نہ مرتبہ خاندان ذات اسی کو وجہ بنا کر کسی نے مجھے ٹھکرا دیا ہے,بہت سستا سودا کیا ہے تم نے میرے بدلے,audio/4_0_7_26.wav
5_0_7_48,train,Sad,پتہ نہیں کیا بوجھ ہے کس بات کی سزا ہے,اس کا کوئی قرض ہے جسے جو اتر ہی نہیں رہا بڑا بوجھ ہے دل پر,audio/5_0_7_48.wav
10_1_5_49,train,Happy,کتنی فرمانبرداری سے کبوتروں کو دانہ ڈال رہا ہے,واہ رے واہ,audio/10_1_5_49.wav
6_1_3_34,train,Boredom,یا پھر ایسے ہی چھپ چھپ کر ملتے رہیں گے,طبیعت ٹھیک ہے طبیعت کو کیا ہونا ہے میری,audio/6_1_3_34.wav
7_1_1_38,train,Angry,تم جہاں تھے جس حال میں بھی تھے کم از کم میری وجہ سے تو بلکل نہیں تھے,ہاں نہیں ملتے بھائی میرے مزاج کسی سے بھی,audio/7_1_1_38.wav
2_0_6_41,train,Neutral,اپ اسے اندر لے لے جائیں مجھے کچھ کام کرنا ہے,اپ اسے جا کر بتا دیں,audio/2_0_6_41.wav
2_0_6_13,train,Neutral,اپ ایک کام کریں میں اپ کو ایک گاڑی دے دیتا ہوں اپ اپنے پاس ہی رکھیں,تمہیں کیا لگتا ہے تم نے ٹھیک کیا ہے,audio/2_0_6_13.wav
4_0_2_25,train,Fear,اپنے سوال کا جواب لینے روز اتا ہوں یہاں مجھے میرے سوال کا جواب دے دو پھر دوبارہ کبھی واپس نہیں اؤں گا,بقو مت پتہ نہیں کیا بکواس کرتے جا رہے ہو,audio/4_0_2_25.wav
8_1_5_12,train,Happy,یہ سب کچھ اپ کی ہی تو وجہ سے ہے,مجھے ہمیشہ لگتا تھا اپ بس ائیں گے مجھے جھوٹی موٹی تسلیاں دیں گے اور چلے جائیں گے,audio/8_1_5_12.wav
10_1_1_09,train,Angry,میں یہاں کام لینے آئی ہوں عزت بیچنے نہیں,تم نے ہر کسی کو حُسنِ جہاں سمجھ رکھا ہے,audio/10_1_1_09.wav
7_1_5_13,train,Happy,اپ نے مجھے فون پرفیوم کا پوچھنے کے لیے کیا ہے مطلب,یہ سوال کرنے کے لیے لیا ہے,audio/7_1_5_13.wav
1_0_2_22,train,Fear,نہیں نہیں نفیسا یہ یہ مجھ سے نہیں ہوگا,مجھ سے نہیں ہوگا میں میں جہاں ارا اور گیتی کا سامنا نہیں کر سکتا,audio/1_0_2_22.wav
2_0_4_03,train,Disgust,وہ کہاں گیا ہے سلیم کہاں چلے گئے تھے تم,اتنی سی بات نہیں ہے,audio/2_0_4_03.wav
8_1_3_48,train,Boredom,وہ اا ایکچولی وہ کہہ رہی تھی کہ اپ سے بات کرو,مطلب,audio/8_1_3_48.wav
6_1_2_33,train,Fear,تو کیا وہ کوئی ناجائز کام ہے,کتنی دیر سے انتظار کر رہی تھی کہاں تھے تم,audio/6_1_2_33.wav
10_1_3_15,train,Boredom,اماں ٹھیک کہتی ہیں مجھے عقل نہیں ہے,ہاں کر رہی ہوں,audio/10_1_3_15.wav
5_0_1_05,train,Angry,تب نہیں سمجھ ائی جب وہ میری پیٹھ پر مار رہا تھا,اس کی اس لیے میں نے اسے سامنے نکالا ہے,audio/5_0_1_05.wav
3_0_2_33,train,Fear,غلطی تو مجھ سے ہوئی ہے بیٹا میں ان کی اور خدا کی باتوں میں اگیا,مسجد اور نماز سے چمڑا رہا داڑھی منڈوا کر تو تمہارے ساتھ نہیں گیا,audio/3_0_2_33.wav
3_0_4_46,train,Disgust,میں نے ذرا بھی شک کیا ہو تو میرے خلاف فتوی دے دینا,کس سے بات کر لیں,audio/3_0_4_46.wav
6_1_1_32,train,Angry,میں نے کچھ نہیں دیکھنا شادی کرے گا یا نہیں,میں نے سن لیا اب میں کیا کروں,audio/6_1_1_32.wav
2_0_2_04,train,Fear,رہ گئی بات نایاب کی تو نایاب میری چھوٹی بہن تھی,اپ کا انتظار ہم کیوں کریں اپ کا انتظار تو مجرموں کو ہوتا نہیں,audio/2_0_2_04.wav
5_0_1_30,train,Angry,وہ سمجھا رہا ہوں سمجھنے کی کوشش کرو چاچا,اے صاحب دے رہے ہیں چل,audio/5_0_1_30.wav
6_1_7_37,train,Sad,ایک عرصے سے اُسکا ساتھ چاہئے تھا,ساری زندگی میں نے ایسی اذیت برداشت نہیں کی,audio/6_1_7_37.wav
1_0_3_09,train,Boredom,کیا کہوں تم سے کیوں یہ انسو میری انکھ میں اگئے,میں نا اچھا باب بن سکا نہ اچھا شوہر,audio/1_0_3_09.wav
4_0_7_02,train,Sad,منافق کہہ دیا تم نے مجھے کیا منافقت کی ہے میں نے,سودا لگتا ہے تو میں یہ کمتری بالا طری کا سودا,audio/4_0_7_02.wav
1_0_2_14,train,Fear,یہ اس سے تو بہتر ہے منور کہ لوگ یہ کہیں کہ اقبال حسین کی بیٹی گھر کے ملازم کے ساتھ بھاگ رہی تھی,بس منور فیصلہ ہو چکا,audio/1_0_2_14.wav
4_0_3_20,train,Boredom,یہ محبت کی کہانیاں ادھوری کیوں رہ جا تی ہیں مراد,قدم خودبخود چلنے لگے جب ہوش آیا تو تمہاری دہلیز پر کھڑا تھا,audio/4_0_3_20.wav
3_0_5_05,train,Happy,ہا ہا ماں جی اپ تو خامخواہ تکلف سے کام لے رہی ہیں اس عمر میں بھی,ہاں ہاں لو بھائی گھنٹی تو ہم نے ٹھیک کر دی,audio/3_0_5_05.wav
7_1_6_39,train,Neutral,میرے لیے تو دونوں ہی ایک برابر ہیں,بھابھی کو کوئی شک ہوگا تبھی تو انہوں نے کہا ہے,audio/7_1_6_39.wav
7_1_1_36,train,Angry,مجھے اس گھر میں عزت چاہیے,وہ حیثیت چاہیے جو ایک بہو کی بیوی کا حق ہوتا ہے,audio/7_1_1_36.wav
6_1_5_25,train,Happy,کیوں میں نے مذاق میں کہا ہے,ہا ہا جی ہا ہا,audio/6_1_5_25.wav
6_1_4_47,train,Disgust,اتنی بکواس ان کی نہ کوئی سر نہ کوئی پیر,چلے ٹھیک ہے اپ نہ مانیں ہو سکتا ہے میں ہی غلط ہوں,audio/6_1_4_47.wav
2_0_7_07,train,Sad,ہاسپٹل سے فون ایا تھا وجی کا نایاب کی ڈیتھ ہو گئی ہے,زفرا تم اتنا سٹریس مت لو ابھی تمہیں وہاں جانا ہے,audio/2_0_7_07.wav
3_0_7_20,train,Sad,انکھ جھپک جائے یا یہ کمبخت دل ہی ذرا زور سے دھڑک جائے,سنا ہے ماں اگر ڈر جائے تو عام لوگوں کو بھی ڈر ہی جانا چاہیے,audio/3_0_7_20.wav
9_1_1_44,train,Angry,ہمارے بخش اولا کے کے خود ارام سے سو رہی ہے ہیں,ارے تو یہاں سے بات نہ کر مجھ سے,audio/9_1_1_44.wav
7_1_5_24,train,Happy,خوشبو تو اچھی ہے,کی طرح کیوں ایسے,audio/7_1_5_24.wav
10_1_3_20,train,Boredom,کبھی کبھی مجھے لگتا ہے ابا کو ابا کو حسن جہاں سے محبت تھی,اور اماں اماں جہانگیر کے عشق میں مبتلا ہے,audio/10_1_3_20.wav
10_1_2_10,train,Fear,پیر میں پیر میں کچھ چھپ گیا ہے شاید,میں نے اپنی زندگی میں کسی کو بد دعا نہیں دی,audio/10_1_2_10.wav
6_1_2_26,train,Fear,پتہ بڑا برا لگ رہا ہے مجھے لگتا ہے میں اسے دھوکہ دے رہی ہوں اپنی دوست کو,کوئی اور راستہ نہیں ہے مطلب کسی اور طریقے سے سمجھا دیتے ہیں,audio/6_1_2_26.wav
8_1_3_40,train,Boredom,اپ مجھے سمجھ نہیں اتے ہیں,اا یہ گاڑی چلے گی بھی,audio/8_1_3_40.wav
7_1_4_22,train,Disgust,میں تو ضرور بولوں گی بھابھی,بتایا تھا میں نے آپکو,audio/7_1_4_22.wav
10_1_3_25,train,Boredom,اگلے ہفتے پھر جانا ہے,تمہارا خواب تھانہ وہاں جانا,audio/10_1_3_25.wav
5_0_2_06,train,Fear,اچھا بابا میں جا کر لے اتا ہوں,سب خیریت ہے نا نیچے اوازیں,audio/5_0_2_06.wav
3_0_7_13,train,Sad,اب میرے اندر جرات نہیں ہے,چیک کر لیجیے ضرور کوئی نہ کوئی گڑبڑ ہوگی,audio/3_0_7_13.wav
3_0_4_02,train,Disgust,اج تو ڈھنگ سے تیار ہو جاتی,اسے تیار ہونا کہتے ہیں,audio/3_0_4_02.wav
5_0_5_03,train,Happy,دوستی کرنے کے لیے ایا ہوں یار پرانی باتیں بھول جا نئی شروعات کرتے ہیں,سنیے اب تھوڑی دیر پہلے ہم دونوں کی شادی ہوئی ہے ہم اسی سلسلے میں حاضر ہوئے ہیں,audio/5_0_5_03.wav
8_1_4_38,train,Disgust,اچھا چھوڑیے یہ سب کچھ,اپ کے بھتیجے ہیں نا ابو,audio/8_1_4_38.wav
6_1_3_29,train,Boredom,اب تو پکا ہے کہ میری بلبل کو کچھ ہوا ہے,مجھے کیا ٹھیک لگ رہا ہے,audio/6_1_3_29.wav
6_1_7_36,train,Sad,ایسا لگتا ہے جیسے میں میں ذرا ذرا کر کے ٹوٹنے لگی ہوں,ایک عرصے سے اُسکا ساتھ چاہئے تھا,audio/6_1_7_36.wav
10_1_4_10,train,Disgust,اماں نہیں میں بات نہیں کروں گی,محبت میں انا نہیں خودداری ہوتی ہے اماں,audio/10_1_4_10.wav
7_1_4_03,train,Disgust,مجھے کیوں دے رہی ہو اپنے بچوں کا جھوٹا,بلکہ میں نے ہی نہیں بڑے بھیا نے بھی بتایا تھا,audio/7_1_4_03.wav
7_1_2_08,train,Fear,نہیں ملاقات ہو سکی,اس وقت میرے بھیا کا مسئلہ نہیں ہے,audio/7_1_2_08.wav
5_0_7_03,train,Sad,اس کا بس چلے تو مجھے زہر دے کر مار دے,بس بیٹا زندگی کے دن گن رہا تھا,audio/5_0_7_03.wav
2_0_3_41,train,Boredom,بس ابھی صرف اس کیس کو سنبھالو,وہ کہہ رہا تھا اگر تم واپس انا چاہو تو ایسا ہو سکتا ہے,audio/2_0_3_41.wav
5_0_4_38,train,Disgust,میمونہ سارا گھر ہی نمونوں کا ہے,مجھے کیا پتہ تھا منحوس ایس پی صاحب ا جائیں گے اور یہ چکر ہو جائے گا,audio/5_0_4_38.wav
6_1_7_07,train,Sad,امی ایسا کریں آپ ایسا کریں نا میرا ایک اپر لے کر آئیں,میں نے کہا آپکا شکریہ جو کچھ بھی آپ نے کیا ہے,audio/6_1_7_07.wav
3_0_2_15,train,Fear,زندگی کے گزرے ہوئے لمحوں کا تانا بانا تم سے ایسے جڑ جاتا ہے میں چاہوں بھی تو تمہارے خیال کو دل سے نہیں نکال سکتا,کیوں نہیں ہو سکتا اب کیوں رکاوٹ ہے ہمارے بیچ,audio/3_0_2_15.wav
6_1_3_19,train,Boredom,نہیں سر ایسی کوئی بات نہیں ہے وہ,آمم میم گھر پر نہیں ہیں,audio/6_1_3_19.wav
8_1_3_39,train,Boredom,اپ سمجھ کیوں نہیں رہے ہیں,اپ مجھے سمجھ نہیں اتے ہیں,audio/8_1_3_39.wav
1_0_3_42,train,Boredom,بھوک نہیں ہے مجھے,اگے تو صرف اندھیرا ہے اپا,audio/1_0_3_42.wav
8_1_5_08,train,Happy,تب بھی وہ مجھ سے اتنی محبت کرے گا,ایسا کیا لائے ہو,audio/8_1_5_08.wav
6_1_2_39,train,Fear,اگر یہ ابھی نہیں ہوگا تو کبھی نہیں ہوگا اس صورتحال کو ابھی ختم ہونا چاہیے,امی ابو کو پھر کچھ ہو رہا ہے,audio/6_1_2_39.wav
9_1_5_30,train,Happy,دیر ائے درست ائے,اب خدا کرے کہ ہمارا ملنا جو ہے یہ خوش ہے ثابت ہو,audio/9_1_5_30.wav
7_1_2_41,train,Fear,میرا جب دل چاہے گا میں ا جاؤں گی چاہے مراد ساتھ ائے یا نہ ائے,ہم نے ساتھ میں ڈھنگ سے وقت نہیں گزارا ہے,audio/7_1_2_41.wav
10_1_6_40,train,Neutral,میں نے چھوڑا تھا اُسے جانے سے پہلے,آپ بہت نیک انسان ہیں,audio/10_1_6_40.wav
2_0_3_25,train,Boredom,تمہاری بیوی اور اسد کو ایک ساتھ گھومتے پھرتے دیکھ لیا تھا,خاموش ہو گیا پیچھے ہٹ گیا لیکن پتہ نہیں کیا سمجھ لیا اس نے,audio/2_0_3_25.wav
2_0_1_45,train,Angry,خدا کی قسم اگر اج مجھے اپنے مرے ہوئے باپ کا خیال نہیں ہوتا نا تو کہہ دیتا ہے میں تمہیں جاؤ لڑو خود سے,منہ کے بل گرو گی منہ کے بل,audio/2_0_1_45.wav
4_0_2_45,train,Fear,پچھلے 20 سال سے جس اگ میں جل رہا ہے نا مرید,اج اس اگ پر پہلی بارش کی بوند گری ہے مبارک ہو اپ کو,audio/4_0_2_45.wav
5_0_3_17,train,Boredom,کہاں ہو میری میناء,آہ بڑی مہربانی آپکی,audio/5_0_3_17.wav
5_0_2_44,train,Fear,چل چلو جلدی بیٹھے بیٹھے اوکے اوکے اوکے چل چل,جیسا بھی ہے تو سیدھا سیدھا الزام ہی,audio/5_0_2_44.wav
